"系统","目标ID或栏位","目标名称","材料ID","材料名称","部件位","固定效果","下一套Build"
"装备锻造","weapon","武器","FORGE-LOAD","承力合金","主体位","基础武器伤害+2","是"
"装备锻造","weapon","武器","FORGE-CIRCUIT","导能晶片","回路位","每个自己回合第一次武器命中后获得2护盾","是"
"装备锻造","head_chest_shoes","头／胸／鞋","FORGE-LOAD","承力合金","主体位","自己回合开始获得2护盾","是"
"装备锻造","head_chest_shoes","头／胸／鞋","FORGE-CIRCUIT","导能晶片","每场战斗第一次受到负面状态时持续时间-1回合且最低1回合","是"
"装备锻造","backpack","背包","FORGE-LOAD","承力合金","主体位","背包容量增加1行","是"
"装备锻造","backpack","背包","FORGE-CIRCUIT","导能晶片","每场战斗第一次打开背包不消耗行动点","是"
"装备锻造","casting_unit","施法单元","FORGE-LOAD","承力合金","主体位","个人魔力上限+1","是"
"装备锻造","casting_unit","施法单元","FORGE-CIRCUIT","导能晶片","每场战斗第一次施放术式时魔力成本-1且最低0","是"
"术式专精","BASE-FIRE-MELEE","灼触","SPEC-AMPLIFY","增幅刻墨","专精位","伤害8→10","是"
"术式专精","BASE-FIRE-MELEE","灼触","SPEC-EFFICIENT","节流刻墨","专精位","魔力1→0","是"
"术式专精","BASE-FIRE-RANGED","火花","SPEC-AMPLIFY","增幅刻墨","专精位","伤害6→8","是"
"术式专精","BASE-FIRE-RANGED","火花","SPEC-EFFICIENT","节流刻墨","专精位","魔力2→1","是"
"术式专精","BASE-AETHER-SHIELD","以太护幕","SPEC-AMPLIFY","增幅刻墨","专精位","护盾6→8","是"
"术式专精","BASE-AETHER-SHIELD","以太护幕","SPEC-EFFICIENT","节流刻墨","专精位","魔力2→1","是"
"术式专精","BASE-MANA-RECOVER","回路调息","SPEC-AMPLIFY","增幅刻墨","专精位","恢复魔力2→3","是"
"术式专精","BASE-MANA-RECOVER","回路调息","SPEC-EFFICIENT","节流刻墨","专精位","冷却1→0","是"
"术式专精","F-P-M01","热脉增压","SPEC-AMPLIFY","增幅刻墨","专精位","追加火伤8→10","是"
"术式专精","F-P-M01","热脉增压","SPEC-EFFICIENT","节流刻墨","专精位","魔力3→2","是"
"术式专精","F-P-M06","熔势贯击","SPEC-AMPLIFY","增幅刻墨","专精位","下次近战命中额外造成2火伤","是"
"术式专精","F-P-M06","熔势贯击","SPEC-EFFICIENT","节流刻墨","专精位","魔力3→2","是"
"术式专精","F-P-U01","武器热载","SPEC-AMPLIFY","增幅刻墨","专精位","追加火伤8→10","是"
"术式专精","F-P-U01","武器热载","SPEC-EFFICIENT","节流刻墨","专精位","魔力2→1","是"
"术式专精","F-P-R01","火弹","SPEC-AMPLIFY","增幅刻墨","专精位","伤害12→14","是"
"术式专精","F-P-R01","火弹","SPEC-EFFICIENT","节流刻墨","专精位","魔力2→1","是"
"法宝","all","全部法宝","","","","不存在强化；下一套Build不制作合成","是"
